Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
2021-10-31,3700.65,,,260.10974999999996,0.93,3700.65,,,33.739464299393845
2021-09-30,4493.28,,,273.98325,1.29,4477.204062073137,,,38.34227971263208
2021-08-31,4454.206363636363,,,273.6565,1.28,4443.569584102033,,,38.09042561049446
2021-07-31,4363.7128571428575,,,273.003,1.32,4363.7128571428575,,,37.44349144100409
2021-06-30,4238.489545454546,57.86504213441615,158.74,271.696,1.52,4258.878899128906,58.143403280953756,159.5036225045639,36.696311599802975
2021-05-31,4167.849500000001,57.787823777911655,148.56,269.195,1.62,4226.807396305653,58.60528336277128,150.66151184085888,36.55215194164267
2021-04-30,4141.176190476191,57.71060542140715,138.38,267.054,1.64,4233.426661007031,58.9961895791129,141.46260733784177,36.719814109133026
2021-03-31,3910.5082608695648,57.63338706490265,128.2,264.877,1.61,4030.4763597525407,59.40148661031202,132.1329696425133,35.042545112192094
2021-02-28,3883.4321052631576,57.84854008860516,116.84333333333332,263.014,1.26,4030.920844643851,60.04556787779158,121.28092242238054,35.103907171969844
2021-01-31,3793.748421052632,58.06369311230766,105.48666666666665,261.582,1.08,3959.388261396547,60.59882717747906,110.09234756214111,34.51243229410692
2020-12-31,3695.3099999999995,58.27884613601017,94.13,260.474,0.93,3873.0572568855237,61.08210351769922,98.65772549275552,33.76559141811712
2020-11-30,3548.992500000001,58.469230757340114,95.49333333333334,260.229,0.87,3723.203791573961,61.33934113586926,100.18086562220199,32.47320409661258
2020-10-31,3418.701363636364,58.659615378670054,96.85666666666667,260.388,0.79,3584.3269596787036,61.501493836978135,101.54907511098823,31.283694032592862
2020-09-30,3365.5166666666664,58.85,98.22,260.28,0.68,3530.0297623712922,61.7267041263255,103.02118741355463,30.839426043811265
2020-08-31,3391.71,59.126666666666665,98.55666666666667,259.918,0.65,3562.458179618187,62.103268646265356,103.51828526689187,31.158208965355236
2020-07-31,3207.6190909090906,59.403333333333336,98.89333333333335,259.101,0.62,3379.7230990056173,62.590604474702914,104.19943064673622,29.59919492766702
2020-06-30,3104.6609090909087,59.68,99.23,257.797,0.73,3287.787453556656,63.200188675585814,105.08302148589782,28.838315955122862
2020-05-31,2919.615,59.64686786212671,104.93,256.394,0.67,3108.7453444503376,63.51074466237189,111.72728219069089,27.32848099769848
2020-04-30,2761.975238095238,59.61373572425342,110.63,256.389,0.66,2940.9511559611146,63.47670412509255,117.79882089325203,25.927358825280184
2020-03-31,2652.3936363636367,59.58060358638012,116.33,258.115,0.87,2805.382949104786,63.017195904509734,123.03988140944926,24.817168629099438
2020-02-29,3277.3142105263164,59.13373572425341,124.04333333333332,258.678,1.5,3458.804426415528,62.40842767428368,130.9125713435236,30.729689264735768
2020-01-31,3278.2028571428577,58.686867862126704,131.75666666666666,257.971,1.76,3469.2241166975027,62.106558438600366,139.43414286877206,30.985220300230708
2019-12-31,3176.7495238095235,58.24,139.47,256.974,1.86,3374.902325716109,61.87277592285601,148.16957517102895,30.331822322243305
2019-11-30,3104.9044999999996,57.900000000000006,137.28,257.208,1.81,3295.5749557303807,61.45560674629093,145.71028832695714,29.836867659083442
2019-10-31,2977.68,57.56,135.09,257.346,1.71,3158.8428537455407,61.06196591359493,143.30891200951248,28.841122881953414
2019-09-30,2982.156,57.22,132.9,256.759,1.7,3170.823747046841,60.84005491530968,141.30799193017577,29.229520233035288
2019-08-31,2897.498181818182,56.83909158059271,133.69,256.558,1.63,3083.2236614368253,60.482395866730144,142.25933734282304,28.70539737183308
2019-07-31,2996.1136363636365,56.45818316118542,134.48000000000002,256.571,1.63,3187.9986867891607,60.07402776445155,143.09272458695642,29.986685335042537
2019-06-30,2890.17,56.07727474177812,135.27,256.143,2.06,3080.40852379335,59.768427153307535,144.17382403579253,29.283796275306273
2019-05-31,2854.71,55.69818316118541,134.97666666666666,256.092,2.4,3043.220382245443,59.37620502613554,143.8898322868344,29.24203093693986
2019-04-30,2903.8,55.319091580592705,134.68333333333334,255.548,2.53,3102.1417166246656,59.09761750738237,143.8827697731933,30.133517171387528
2019-03-31,2803.98,54.94,134.39,254.202,2.57,3011.364788396629,59.00340996530318,144.32960075058415,29.576196014784827
2019-02-28,2754.86,54.54333333333334,133.7233333333333,252.776,2.68,2975.3024202455927,58.90786162452132,144.4238027739975,29.54154896513121
2019-01-31,2607.39,54.14666666666667,133.05666666666664,251.712,2.71,2827.9354666046906,58.72664966310704,144.31123335399184,28.380164463547587
2018-12-31,2567.31,53.75,132.39,251.233,2.83,2789.7741615552095,58.40757882125357,143.86194158410717,28.291857012072878
2018-11-30,2723.23,53.28,131.72333333333333,252.038,3.12,2949.753448646632,57.71193169283996,142.68033062474706,30.195583406705243
2018-10-31,2785.46,52.81,131.05666666666667,252.885,3.15,3007.054338454238,57.01124396464797,141.4827418391759,31.037961078006504
2018-09-30,2901.5,52.34,130.39,252.439,3.0,3137.8598572328365,56.60368255301281,141.01173420113372,32.622891120500206
2018-08-31,2857.82,51.89,127.75333333333333,252.146,2.89,3094.2130093675887,56.18223438008138,138.32082706051256,32.39027688030112
2018-07-31,2793.64,51.44,125.11666666666667,252.006,2.89,3026.404533701578,55.72595223923239,135.54131786544764,31.886366962158984
2018-06-30,2754.35,50.99,122.48,251.989,2.91,2984.0422123584754,55.24218505569687,132.69391695669256,31.630556496454602
2018-05-31,2701.49,50.66,120.13333333333333,251.588,2.976,2931.438997368714,54.97214485587548,130.35900122422373,31.24361507486461
2018-04-30,2653.63,50.33,117.78666666666666,250.546,2.87,2891.480809472113,54.84119079929434,128.3441498168001,30.97017929332522
2018-03-31,2702.77,50.0,115.44,249.554,2.84,2956.7320832765654,54.698181555895715,126.28716157625203,31.808409057643118
2018-02-28,2705.16,49.64333333333333,113.58666666666666,248.991,2.86,2966.0381117389784,54.43079842243293,124.54064909976664,32.03538233925029
2018-01-31,2789.8,49.28666666666666,111.73333333333332,247.867,2.58,3072.7114517059554,54.284789261983235,123.0641239051588,33.30734382803065
2017-12-31,2664.34,48.93,109.88,246.524,2.4,2950.515215638234,54.185542949165196,121.68214713374762,32.08613200770599
2017-11-30,2593.61,48.67666666666666,108.94666666666666,246.669,2.35,2870.4997824209768,53.87331213083118,120.5776438871524,31.29891333388026
2017-10-31,2557.0,48.42333333333333,108.01333333333334,246.663,2.36,2830.0501939893697,53.594236954873644,119.54757722074245,30.920393290333827
2017-09-30,2492.84,48.17,107.08,246.819,2.2,2757.295015861826,53.280154728768856,118.43967133810605,30.1681144106789
2017-08-31,2456.22,47.85333333333334,106.06,245.519,2.21,2731.175300730289,53.21015302278032,117.93261694614266,29.914959397497487
2017-07-31,2454.1,47.53666666666667,105.03999999999999,244.786,2.32,2736.9892979990686,53.01631878457101,117.14818298432098,30.002220744018558
2017-06-30,2433.99,47.22,104.02,244.955,2.19,2712.6883385519786,52.62681578249065,115.93056708375005,29.748503240632747
2017-05-31,2395.35,46.94,102.77666666666667,244.733,2.3,2672.045600920186,52.362210327172875,114.64877368397396,29.31334498027142
2017-04-30,2359.31,46.660000000000004,101.53333333333333,244.524,2.3,2634.0919825047845,52.094354664572805,113.35862573816884,28.90424595627514
2017-03-31,2366.82,46.38,100.29,243.801,2.48,2650.3130030639745,51.935304367086275,112.30253719221825,29.086921742464632
2017-02-28,2329.91,46.153333333333336,98.37666666666667,243.603,2.42,2611.102571520055,51.7234946203454,110.24956642570082,28.655106525184124
